Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
264,Immanuel Quickley,25,TOR,PG,1,1,14,4,9,0.444,2,4,0.5,2,5,0.4,0.556,3,4,0.75,0,2,2,4,1,0,2,2,13,,quickim01
265,Xavier Tillman Sr.,26,BOS,PF,4,0,66,5,15,0.333,3,9,0.333,2,6,0.333,0.433,0,0,,4,10,14,4,2,0,3,6,13,,tillmxa01
266,Jose Alvarado,26,NOP,PG,4,0,63,4,13,0.308,2,9,0.222,2,4,0.5,0.385,2,2,1,1,1,2,15,6,1,6,9,12,,alvarjo01
267,Max Christie,21,LAL,SG,4,0,64,4,12,0.333,2,7,0.286,2,5,0.4,0.417,2,2,1,2,5,7,5,2,2,3,11,12,,chrisma02
268,Kyle Filipowski,21,UTA,C,3,0,34,5,11,0.455,2,6,0.333,3,5,0.6,0.545,0,2,0,2,7,9,4,1,0,2,3,12,,filipky01
269,John Konchar,28,MEM,SG,2,0,37,3,4,0.75,3,4,0.75,0,0,,1.125,3,4,0.75,3,8,11,3,2,1,1,4,12,,konchjo01
270,Naji Marshall,27,DAL,SF,4,0,68,4,18,0.222,0,6,0,4,12,0.333,0.222,4,4,1,2,10,12,11,4,0,1,4,12,,marshna01
271,Neemias Queta,25,BOS,C,3,0,20,5,8,0.625,0,1,0,5,7,0.714,0.625,2,2,1,4,3,7,0,0,0,1,5,12,,quetane01
272,Gabe Vincent,28,LAL,PG,4,0,70,5,16,0.313,2,9,0.222,3,7,0.429,0.375,0,0,,1,3,4,2,4,0,2,6,12,,vincega01
273,Grayson Allen,29,PHO,SG,2,0,34,3,9,0.333,3,8,0.375,0,1,0,0.5,2,2,1,1,2,3,3,1,1,1,5,11,,allengr01
274,Jeremiah Robinson-Earl,24,NOP,PF,4,0,26,4,6,0.667,3,4,0.75,1,2,0.5,0.917,0,0,,1,3,4,1,1,0,2,2,11,,robinje02
