Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
125,Luguentz Dort,SG,23,OKC,70,69,30.6,4.6,11.8,0.391,1.9,5.6,0.34,2.7,6.2,0.437,0.472,2.6,3.4,0.783,1.6,2.9,4.5,2.1,1,0.3,1.3,3.3,13.8
126,Ayo Dosunmu,SG,23,CHI,74,50,26.5,3.6,7.2,0.497,0.8,2.4,0.328,2.8,4.8,0.581,0.552,0.9,1.1,0.81,0.6,2.2,2.8,2.6,0.8,0.3,1.3,2.4,8.8
127,Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0,1,0,0.15,0,0,,1,0.7,1.7,1.3,0.8,0,0.5,1.5,0.5
128,Jeff Dowtin,PG,25,TOR,22,0,10.3,1.1,2.5,0.446,0.2,0.7,0.313,0.9,1.8,0.5,0.491,0.2,0.3,0.714,0.3,0.8,1,1.2,0.4,0.1,0.2,0.5,2.7
129,PJ Dozier,SG,26,SAC,11,0,2.6,0.4,1.3,0.286,0.1,0.6,0.143,0.3,0.6,0.429,0.321,0,0,,0,0.6,0.6,0.1,0.3,0.1,0.2,0.2,0.8
130,Goran Dragić,PG,36,TOT,53,0,15.1,2.4,5.7,0.421,0.8,2.4,0.349,1.5,3.3,0.474,0.495,0.5,0.8,0.659,0.2,1.1,1.3,2.7,0.2,0.1,1.1,1.2,6.2
130,Goran Dragić,PG,36,CHI,51,0,15.4,2.5,5.9,0.425,0.9,2.5,0.352,1.6,3.4,0.48,0.5,0.5,0.8,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4
130,Goran Dragić,PG,36,MIL,2,0,7,0,1.5,0,0,0.5,0,0,1,0,0,0,0,,0,0,0,1.5,0.5,0,1,1,0
131,Andre Drummond,C,29,CHI,62,0,12.8,2.5,4.2,0.608,0,0,0,2.5,4.1,0.615,0.608,1,1.9,0.539,2.1,4.6,6.7,0.5,0.7,0.4,1.2,1.8,6.1
132,Chris Duarte,SF,25,IND,46,12,19.5,2.7,7.2,0.369,1.2,3.8,0.316,1.5,3.5,0.428,0.452,1.3,1.6,0.847,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9
